#NAME=latitude,longitude,absolute-altitude,heading
# //  custom entries for HeliPilot sim testing //
Barron=45.4103140,-91.8554556,337,180
NWS=45.4363692,-91.8904868,345,180
NWN=45.4449313,-91.8958282,345,45
NWNPad=45.4448319,-91.9013636,339,0
HomeFarm=45.3853364,-91.8281749,331,300
Thompson=45.3818340,-91.8288201,339,160
Severson=45.4054122,-91.8087670,331,270
Peterson=45.4155671,-91.8170359,336,75
Shaide=45.4120157,-91.8067541,334,60
Crown=45.4303238,-91.7964707,335,200
Cityview=45.3903903,-91.8484995,356,180
